
ReleaseID: 221-2021-1, ReleaseDate: 2021-05-24 13:28:46.272000+02:00, ReleaseTag: tender
ReleaseID: XX-M-2021-40-1, ReleaseDate: 2021-05-25 12:45:53.040000+02:00, ReleaseTag: tender
ReleaseID: 2021-ETSAE0038-00000711E-1, ReleaseDate: 2021-05-25 08:05:41.095000+02:00, ReleaseTag: contract
ReleaseID: 202100000014-1, ReleaseDate: 2021-05-25 08:05:41.920000+02:00, ReleaseTag: contract
ReleaseID: SPD-2021-028-1, ReleaseDate: 2021-05-25 12:12:23.528000+02:00, ReleaseTag: tender
ReleaseID: OBR-ABR_SMPL-2020000090-1, ReleaseDate: 2021-05-25 11:31:53.513000+02:00, ReleaseTag: contract
ReleaseID: HAP-SCC-01-2021-1, ReleaseDate: 2021-05-24 08:56:46.508000+02:00, ReleaseTag: tender
ReleaseID: 2020-221-SER-1, ReleaseDate: 2021-05-25 14:06:42.537000+02:00, ReleaseTag: contract
ReleaseID: 733-441-1, ReleaseDate: 2021-05-24 08:59:56.797000+02:00, ReleaseTag: contract
ReleaseID: 50-F-21-SU-GE-N-068-7-1, ReleaseDate: 2021-05-25 13:41:04.109000+02:00, ReleaseTag: award
ReleaseID: 2021-EA62-00000484E-1, ReleaseDate: 2021-05-25 13:22:03.580000+02:00, ReleaseTag: tender
ReleaseID: 10-VC-199-21-1, ReleaseDate: 2021-05-25 13:39:40.249000+02:00, ReleaseTag: tender
ReleaseID: SET-382-1, ReleaseDate: 2021-05-24 09:40:48.719000+02:00, ReleaseTag: tender
ReleaseID: SET-382-1, ReleaseDate: 2021-05-25 09:45:30.319000+02:00, ReleaseTag: tender
ReleaseID: 2020-03-SER-1, ReleaseDate: 2021-05-24 14:54:36.900000+02:00, ReleaseTag: contract
ReleaseID: 2021-005141-1, ReleaseDate: 2021-05-24 11:48:42.713000+02:00, ReleaseTag: tender
ReleaseID: 2021-005141-1, ReleaseDate: 2021-05-25 13:46:52.518000+02:00, ReleaseTag: tender
ReleaseID: 3582-2021-1, ReleaseDate: 2021-05-25 13:14:09.291000+02:00, ReleaseTag: tender
ReleaseID: 21-05240-1, ReleaseDate: 2021-05-25 11:15:33.744000+02:00, ReleaseTag: contract
ReleaseID: 17036-2020-1, ReleaseDate: 2021-05-24 19:37:03.671000+02:00, ReleaseTag: award
ReleaseID: SU2021-9-1, ReleaseDate: 2021-05-25 10:03:20.617000+02:00, ReleaseTag: tender
ReleaseID: 2020-C004-000010-1, ReleaseDate: 2021-05-25 15:01:23.207000+02:00, ReleaseTag: tender
ReleaseID: 188-2021-1, ReleaseDate: 2021-05-24 17:40:07.767000+02:00, ReleaseTag: tender
ReleaseID: -DCA-5000027512---Renting-maquinaria-1, ReleaseDate: 2021-05-25 08:20:30.277000+02:00, ReleaseTag: award
ReleaseID: SUMIN-ABR-2021000031-1, ReleaseDate: 2021-05-24 08:26:37.336000+02:00, ReleaseTag: tender
ReleaseID: 000038-2020-CONT-1, ReleaseDate: 2021-05-25 09:45:47.675000+02:00, ReleaseTag: contract
ReleaseID: SDR-55-2021-1, ReleaseDate: 2021-05-25 10:12:43.782000+02:00, ReleaseTag: tender
ReleaseID: 2-20-04110-0109-1, ReleaseDate: 2021-05-25 08:05:25.780000+02:00, ReleaseTag: contract
ReleaseID: TRANSPORTE-COVID19-TF-JUNIO-2020-1, ReleaseDate: 2021-05-24 11:13:53.423000+02:00, ReleaseTag: contract
ReleaseID: 250-2021P-1, ReleaseDate: 2021-05-25 13:22:29.208000+02:00, ReleaseTag: tender
ReleaseID: N202100133-1, ReleaseDate: 2021-05-25 17:40:39.113000+02:00, ReleaseTag: contract
ReleaseID: 2020-3120011235-370-1, ReleaseDate: 2021-05-24 07:52:54.482000+02:00, ReleaseTag: contract
ReleaseID: 2021-AR44U-00000530E-1, ReleaseDate: 2021-05-24 09:38:26.452000+02:00, ReleaseTag: tender
ReleaseID: 21382021PA1002-1, ReleaseDate: 2021-05-25 08:05:11.131000+02:00, ReleaseTag: tender
