ID,atom:entry,atom:id,atom:link,atom:summary,atom:title,atom:updated,cac-place-ext:AdditionalPublicationDocumentReference,cac-place-ext:AdditionalPublicationRequest,cac-place-ext:AdditionalPublicationStatus,cac-place-ext:ContractFolderStatus,cac-place-ext:GeneralDocument,cac-place-ext:GeneralDocumentDocumentReference,cac-place-ext:LocatedContractingParty,cac-place-ext:ParentLocatedParty,cac-place-ext:ValidNoticeInfo,cac:AdditionalDocumentReference,cac:Address,cac:AddressLine,cac:AllowedSubcontractTerms,cac:Attachment,cac:AuctionTerms,cac:AwardedTenderedProject,cac:AwardingCriteria,cac:AwardingTerms,cac:BudgetAmount,cac:ClassificationCategory,cac:Contact,cac:Contract,cac:ContractExtension,cac:ContractModification,cac:ContractModificationLegalMonetaryTotal,cac:Country,cac:DocumentAvailabilityPeriod,cac:EconomicOperatorShortList,cac:ExternalReference,cac:FinalLegalMonetaryTotal,cac:FinancialEvaluationCriteria,cac:Language,cac:LegalDocumentReference,cac:LegalMonetaryTotal,cac:OptionValidityPeriod,cac:ParticipationRequestReceptionPeriod,cac:Party,cac:PartyIdentification,cac:PartyName,cac:PlannedPeriod,cac:PostalAddress,cac:ProcurementLegislationDocumentReference,cac:ProcurementProject,cac:ProcurementProjectLot,cac:RealizedLocation,cac:RequiredBusinessClassificationScheme,cac:RequiredCommodityClassification,cac:RequiredFinancialGuarantee,cac:SpecificTendererRequirement,cac:TechnicalDocumentReference,cac:TechnicalEvaluationCriteria,cac:TenderResult,cac:TenderSubmissionDeadlinePeriod,cac:TendererQualificationRequest,cac:TenderingProcess,cac:TenderingTerms,cac:WinningParty,cbc-place-ext:ContractFolderStatusCode,cbc-place-ext:NoticeTypeCode,cbc-place-ext:PublicationMediaName,cbc-place-ext:SendDate,cbc:AbnormallyLowTendersIndicator,cbc:AgencyID,cbc:AmountRate,cbc:AuctionConstraintIndicator,cbc:AwardDate,cbc:CityName,cbc:CodeValue,cbc:ContractFolderID,cbc:ContractID,cbc:ContractModificationDurationMeasure,cbc:ContractingPartyTypeCode,cbc:ContractingSystemCode,cbc:CountrySubentity,cbc:CountrySubentityCode,cbc:Description,cbc:DocumentHash,cbc:DocumentTypeCode,cbc:DurationMeasure,cbc:ElectronicMail,cbc:EndDate,cbc:EndTime,cbc:EstimatedOverallContractAmount,cbc:EvaluationCriteriaTypeCode,cbc:ExpectedQuantity,cbc:FileName,cbc:FinalDurationMeasure,cbc:FundingProgram,cbc:FundingProgramCode,cbc:GuaranteeTypeCode,cbc:HigherTenderAmount,cbc:ID,cbc:IdentificationCode,cbc:IssueDate,cbc:ItemClassificationCode,cbc:LiabilityAmount,cbc:LimitationDescription,cbc:Line,cbc:LotsCombinationContractingAuthorityRights,cbc:LowerTenderAmount,cbc:MaximumLotPresentationQuantity,cbc:MaximumQuantity,cbc:MaximumTendererAwardedLotsQuantity,cbc:MinimumQuantity,cbc:Name,cbc:Note,cbc:OptionsDescription,cbc:PartPresentationCode,cbc:PayableAmount,cbc:PersonalSituation,cbc:PostalZone,cbc:PriceRevisionFormulaDescription,cbc:ProcedureCode,cbc:ProcurementProjectLotID,cbc:Rate,cbc:ReceivedTenderQuantity,cbc:RequiredCurriculaIndicator,cbc:RequirementTypeCode,cbc:ResultCode,cbc:SMEAwardedIndicator,cbc:StartDate,cbc:SubTypeCode,cbc:SubmissionMethodCode,cbc:TaxExclusiveAmount,cbc:Telefax,cbc:Telephone,cbc:TotalAmount,cbc:TypeCode,cbc:URI,cbc:UrgencyCode,cbc:VariantConstraintIndicator,cbc:WebsiteURI,cbc:WeightNumeric
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/6483285,1,1,1,1,1,1,4,0,4,1,10,10,1,0,4,0,0,1,0,12,0,1,2,1,1,0,1,1,1,0,0,1,0,0,12,0,1,1,1,1,0,0,1,3,2,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,4,4,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,5,2,0,1,1,1,1,1,2,0,10,0,0,0,1,1,18,1,5,1,0,0,1,0,1,0,0,0,0,5,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,2,1,1,1,1,12,1,1,0,2
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/6427039,1,1,1,1,1,1,5,0,4,1,5,5,1,0,4,0,0,1,0,7,0,1,1,1,1,0,1,0,1,0,0,1,0,0,7,0,1,1,1,1,0,0,1,3,2,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,4,4,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,4,2,0,1,1,1,1,1,2,0,5,0,0,0,1,1,12,1,5,1,0,0,1,0,1,0,0,0,0,5,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,2,1,1,1,1,7,1,1,0,1
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/6636730,1,1,1,1,1,1,4,0,3,1,7,7,1,0,3,0,1,1,1,10,1,1,1,1,1,0,1,0,0,0,0,2,1,0,10,0,0,1,1,1,0,0,1,3,2,1,1,1,1,0,1,0,5,2,6,1,0,1,1,1,1,1,1,1,3,3,0,0,0,2,1,1,2,0,1,0,0,1,1,1,1,4,2,1,1,1,2,2,1,0,0,8,0,0,0,2,1,14,2,3,5,0,0,1,0,1,0,0,0,0,6,0,0,0,1,0,2,0,1,0,0,1,1,6,1,0,0,1,1,2,0,0,1,1,10,1,1,1,1
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/7084750,1,1,1,1,1,1,4,0,2,1,0,0,1,0,2,0,1,1,0,2,0,1,0,0,1,0,1,1,0,0,0,2,0,0,2,0,0,1,0,1,0,0,1,3,2,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,2,2,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,2,1,1,0,0,1,0,0,2,0,0,0,0,0,6,2,3,1,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,2,1,1,2,0,0,1,1,2,1,0,0,0
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/6292716,1,1,1,1,1,1,6,0,4,1,4,4,1,0,4,0,1,1,1,8,0,1,1,1,1,0,1,1,1,0,0,2,1,0,8,0,0,1,1,1,1,0,1,3,2,1,1,1,1,0,1,0,1,2,0,1,0,1,1,0,1,1,1,1,4,4,0,0,0,2,0,1,2,0,1,0,0,1,1,1,1,4,2,2,0,1,3,2,1,0,0,6,0,0,0,2,1,12,2,5,1,0,0,1,0,1,0,0,0,0,6,0,0,0,1,0,2,0,1,0,0,1,1,0,1,0,2,1,1,2,1,1,1,1,8,1,1,1,1
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/6952253,1,1,1,1,1,1,4,0,4,1,0,0,1,0,4,0,1,1,0,2,0,1,2,1,1,0,1,0,0,0,0,2,1,0,2,0,1,1,1,1,0,0,1,3,2,1,1,1,1,0,1,0,2,0,2,1,2,1,1,1,1,1,1,1,4,4,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,4,2,0,1,1,2,2,1,3,0,0,0,0,0,0,0,7,2,4,2,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,1,0,1,0,0,1,1,2,1,0,1,1,1,2,0,1,1,1,2,1,1,1,2
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/7084751,1,1,1,1,1,1,2,0,2,1,5,5,1,0,2,1,1,1,1,8,1,0,2,1,1,0,1,0,0,0,0,2,1,0,8,0,1,1,1,0,0,0,1,2,1,1,1,1,1,0,1,0,2,2,2,1,1,0,1,1,1,1,0,1,2,2,0,0,0,2,1,0,1,0,1,0,0,1,1,1,1,6,3,0,1,1,2,2,1,2,0,5,0,1,1,2,0,12,2,2,2,0,0,1,0,0,1,0,1,0,5,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,0,1,1,1,0,0,1,1,8,1,1,1,2
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/5925857,1,1,1,1,1,1,6,0,4,1,6,6,1,0,4,0,5,1,0,8,0,4,1,1,5,0,1,2,0,0,0,6,0,0,8,0,1,1,1,4,0,0,1,6,5,1,1,1,5,4,5,0,5,0,0,1,1,4,1,1,1,1,4,1,4,4,0,0,0,0,0,4,1,0,1,0,0,1,1,5,5,6,2,0,1,1,1,1,1,2,0,6,0,1,1,0,0,22,6,8,5,0,0,1,0,0,0,0,0,0,17,0,0,1,4,0,1,0,1,4,0,4,0,0,4,4,0,1,1,9,0,0,5,1,8,1,0,1,1
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/6007450,1,1,1,1,1,1,7,0,5,1,12,12,1,0,5,0,1,1,0,14,0,1,2,1,1,0,1,1,0,0,0,2,0,0,14,0,1,1,1,1,0,0,1,3,2,1,1,1,1,0,1,0,2,0,0,1,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,4,2,0,1,1,1,1,1,2,0,12,0,0,0,0,0,20,2,8,2,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,2,0,0,1,1,14,1,0,1,2
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/6496805,1,1,1,1,1,1,4,0,4,1,11,11,1,0,4,5,1,1,0,18,0,1,1,1,1,1,1,1,0,0,0,2,0,0,18,0,1,1,1,1,0,0,1,3,2,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,4,4,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,5,7,0,1,1,1,1,1,2,0,11,0,1,1,0,0,25,2,5,1,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,2,0,0,1,1,18,1,0,1,1
